distance_ground_m,rsrp_dbm,elevation_geom_deg,antenna_corr_db,rsrp_corrected_dbm
13.696606994559302,-79.9,-83.26603790247981,16.653207580495963,-63.24679241950405
19.647558268612972,-84.52000000000001,-80.39493202112806,16.07898640422561,-68.4410135957744
29.580626925990618,-98.05,-75.69727962543813,15.139455925087626,-82.91054407491237
39.69082877542945,-99.33333333333333,-71.12392558597894,15.0,-84.33333333333333
50.23697359980394,-102.76666666666667,-66.59186600590087,15.0,-87.76666666666667
59.74305658679806,-101.11428571428571,-62.75569977427237,15.0,-86.11428571428571
69.59627359572691,-99.8,-59.05221110626743,15.189557778746515,-84.61044222125348
81.77036717854901,-99.25,-54.83053212105222,16.033893575789556,-83.21610642421044
91.13153552517456,-100.4,-51.84623113826304,16.63075377234739,-83.76924622765262
98.26609154900189,-101.6,-49.731348224252166,17.05373035514957,-84.54626964485043
108.93144548723582,-100.4,-46.814264059800934,17.637147188039812,-82.76285281196019
119.7959389430292,-99.5,-44.07770890216301,17.262167121730407,-82.23783287826959
130.8239593729134,-98.7,-41.576522737557326,15.261218190045861,-83.43878180995414
142.17763042825962,-101.3,-39.21034538442486,13.36827630753989,-87.93172369246011
149.68423188975902,-106.0,-37.77442167961623,12.219537343692986,-93.78046265630701
160.9169467497315,-115.6,-35.795204843854535,10.636163875083628,-104.96383612491637
171.509255424368,-115.3,-34.07238963208537,9.257911705668295,-106.0420882943317
178.42024825736223,-115.6,-33.02992593918911,8.42394075135129,-107.1760592486487
188.38183945729634,-117.55,-31.629108886262244,7.303287109009796,-110.2467128909902
201.14203516164542,-122.35,-29.976719344785494,5.990687737914198,-116.3593122620858
209.70945950956275,-122.7,-28.94901026253083,5.579604105012332,-117.12039589498767
220.13536641931555,-127.0,-27.793047490704694,5.117218996281878,-121.88278100371812
231.38925134276005,-118.76666666666667,-26.626821477853824,4.6507285911415295,-114.11593807552514
238.4687309295392,-111.08333333333333,-25.94199277727128,4.376797110908512,-106.70653622242482
248.42292225224105,-107.10000000000001,-25.032184506766992,4.012873802706797,-103.08712619729322
258.2059425796851,-104.1,-24.193466808652623,3.6773867234610496,-100.42261327653894
267.9419954942148,-102.4,-23.410807837767983,3.3643231351071936,-99.0356768648928
278.7615455957731,-101.05,-22.59510855248937,3.0380434209957485,-98.01195657900425
290.2124450615551,-100.19999999999999,-21.78874959459069,2.7154998378362762,-97.48450016216371
299.3019585848368,-99.6,-21.18475994008819,2.4739039760352752,-97.12609602396472
309.0836371888425,-100.2,-20.573252354991354,2.2293009419965415,-97.97069905800346
319.666838915403,-99.9,-19.944710710935205,1.977884284374082,-97.92211571562592
330.44354692161517,-101.5,-19.345143761669863,1.7380575046679454,-99.76194249533205
341.1743872325282,-98.8,-18.778139852535475,1.51125594101419,-97.28874405898581
348.7679623799912,-99.8,-18.3970921167007,1.3588368466802807,-98.44116315331972
360.4836578451519,-102.15,-17.839461035407,1.1357844141627993,-101.0142155858372
372.568267611757,-104.9,-17.294098917868407,0.9176395671473628,-103.98236043285264
380.6230993671247,-101.7,-16.949304017455994,0.7797216069823976,-100.92027839301761
388.9056239305441,-103.4,-16.608415115598415,0.6433660462393661,-102.75663395376064
397.023186224603,-107.4,-16.287009800327606,0.5148039201310425,-106.88519607986896
409.4864171869574,-102.69999999999999,-15.817979703307337,0.32719188132293486,-102.37280811867706
422.3749743305,-103.1,-15.356939131839589,0.14277565273583548,-102.95722434726416
430.8803221207765,-107.2,-15.067714409661322,0.027085763864528902,-107.17291423613547
439.3562309127467,-107.1,-14.78989124334356,0.0,-107.1
447.97868505795697,-103.8,-14.517361483128209,0.0,-103.8
456.6497920466642,-105.6,-14.253032341036027,0.0,-105.6
470.00906465672324,-106.4,-13.864854510288797,0.0,-106.4
483.1605896426619,-106.6,-13.500381800390606,0.0,-106.6
491.7571108654551,-107.5,-13.272801572617244,0.0,-107.5
500.6389043126585,-107.9,-13.045452707810613,0.0,-107.9
509.0169192942044,-107.5,-12.837905976028283,0.0,-107.5
517.6216694904314,-108.2,-12.63139628584988,0.0,-108.2
530.3894207000092,-108.05,-12.33748051654678,0.0,-108.05
543.1546447549044,-108.4,-12.055389141035787,0.0,-108.4
