antenna_lat,antenna_lon,distance_ground_m,distance_3d_m,azimuth_from_drone_deg,elevation_geom_deg,elevation_in_antenna_frame_deg,rsrp_dbm
57.1124627,13.921186466666667,14.520689787824544,116.90530540533322,12.85618696891629,-82.86492180293274,-77.86492180293274,-94.3
57.112424866666665,13.921458150000001,22.01176541500749,118.06997000374533,63.12637162702225,-79.25549349104455,-74.25549349104455,-86.3
57.1124201,13.9215657,27.774458565542893,119.2787514547711,70.17457561404325,-76.5348803464386,-71.5348803464386,-98.1
57.112414433333335,13.921703416666666,35.54721430424617,121.32437696024655,75.68388627985013,-72.96276175128958,-67.96276175128958,-98.1
57.11240995,13.921843683333332,43.706041343611254,123.96055037764819,79.06427766389317,-69.35478406682068,-64.35478406682068,-100.8
57.11240323333333,13.921956833333333,50.313031645439345,126.44129528502538,81.37580052235506,-66.55202944889263,-61.552029448892625,-102.4
57.11238221666667,13.922057066666667,56.038575745277036,128.82671295798536,84.66775505924238,-64.21522197817325,-59.21522197817325,-100.5
57.112158316666665,13.922089916666666,61.042270408985075,131.08073381196664,108.81682609888816,-62.24546710355688,-57.24546710355688,-100.8
57.11197318333333,13.9220697,69.43360611161856,135.1925503038662,125.45379600939003,-59.096713175553084,-54.096713175553084,-99.8
57.11183366666667,13.922056533333334,78.879853048644,140.27840609650394,135.01210270222293,-55.784347500767424,-50.784347500767424,-99.1
57.111760333333336,13.922051933333334,84.66088130845402,143.60872126693468,139.04972535803915,-53.87671674133702,-48.87671674133702,-99.4
57.111683666666664,13.922048133333334,91.13153552517457,147.51595428012575,142.6738477739433,-51.846231138263036,-46.846231138263036,-100.4
57.11160468333333,13.922048316666666,98.26609154900187,152.02705268575332,145.7751904669156,-49.731348224252166,-44.731348224252166,-101.6
57.111527683333335,13.922045633333333,105.37072792284513,156.7130827435612,148.46749159317596,-47.74898607273914,-42.74898607273914,-100.4
57.11145425,13.92204835,112.49216305162653,161.58739662496495,150.57173790519278,-45.87954204686273,-40.87954204686273,-100.4
57.1113801,13.922050283333334,119.7959389430292,166.7545111451021,152.46095653184443,-44.07770890216301,-39.07770890216301,-99.5
57.11130826666667,13.92205335,127.01311264682997,172.01258902835085,154.05299138312137,-42.405187686656504,-37.405187686656504,-99.0
57.1112337,13.922058033333334,134.63480609899682,177.71474618982654,155.48876384329992,-40.747857788458155,-35.747857788458155,-98.4
57.1111605,13.9220621,142.17763042825962,183.49517321770287,156.7596144675515,-39.21034538442486,-34.21034538442486,-101.3
57.11108725,13.922061566666667,149.68423188975902,189.3709831954916,158.0012249776829,-37.774421679616225,-32.774421679616225,-106.0
57.11101245,13.922060266666668,157.39897364018586,195.52605172453087,159.16188107532514,-36.38949672487893,-31.38949672487893,-116.1
57.11094323333333,13.922051466666666,164.4349198592771,201.23330457239646,160.28894207876215,-35.20091296283014,-30.200912962830138,-115.1
57.11087306666667,13.922036433333334,171.509255424368,207.05415884792342,161.45356142946775,-34.07238963208537,-29.07238963208537,-115.3
57.110803266666665,13.922010883333334,178.42024825736223,212.8139680289308,162.71608601506716,-33.02992593918911,-28.029925939189113,-115.6
57.11073648333333,13.92198705,185.11800407629224,218.45977989824613,163.82429560090304,-32.072382406379305,-27.072382406379305,-117.3
57.11067191666667,13.921963433333334,191.64567483830044,224.0180008040148,164.83173248807122,-31.18583536614518,-26.18583536614518,-117.8
57.11060978333333,13.921945983333334,198.0583756098267,229.5280378280684,165.64888447815918,-30.35690492947753,-25.35690492947753,-121.1
57.110550933333336,13.921933566666667,204.22569471346415,234.8704629816126,166.30769975053022,-29.596533760093457,-24.596533760093457,-123.6
57.11049928333333,13.921926299999999,209.70945950956275,239.65403691111266,166.79558551420587,-28.94901026253083,-23.94901026253083,-122.7
57.11044846666667,13.92192105,215.14417329085495,244.42384356074066,167.221501894085,-28.332362209287098,-23.332362209287098,-125.8
57.110398733333334,13.92190345,220.31386025221738,248.98633902130769,167.8091251672604,-27.767772695698984,-22.767772695698984,-127.7
57.11031075,13.921816133333333,228.8771557189008,256.59452918948597,169.61664965755926,-26.876898995900458,-21.876898995900458,-121.7
57.11023291666667,13.921548733333333,235.12796911114282,262.18535782596734,173.87066720917073,-26.25935239227585,-21.25935239227585,-113.9
57.11017293333333,13.921040799999998,240.51813105873165,267.02990725382284,181.32567711457764,-25.747647145878698,-20.747647145878698,-109.8
57.11011993333333,13.920625300000001,248.24674174818753,274.01176031074164,187.0928915778362,-25.04560398567609,-20.04560398567609,-107.4
57.1100734,13.920342233333335,256.0126198473865,281.0666496066768,190.74834052084444,-24.375406838356064,-19.375406838356064,-104.8
57.11002226666667,13.920049966666665,265.3892832690547,289.63334005957006,194.2648047143676,-23.60983843256312,-18.60983843256312,-102.7
57.10999533333333,13.919908916666666,270.4947077193748,294.3185126766408,195.85712546336777,-23.211777242972854,-18.211777242972854,-102.1
57.10996588333333,13.919768516666666,276.05655972926144,299.43818088138875,197.36419151661664,-22.792328232724895,-17.792328232724895,-101.6
57.10993906666667,13.9196311,281.4665314622847,304.43292912135723,198.7952852679382,-22.397888872253848,-17.397888872253848,-100.5
57.10990986666667,13.919497016666666,287.2249049262259,309.76466230007503,200.11566925993606,-21.992043514448977,-16.992043514448977,-100.3
57.1098795,13.919365233333334,293.1999851968843,315.31291016933193,201.3489980352887,-21.585455674732412,-16.585455674732412,-100.1
57.10984883333333,13.919234933333334,299.30195858483677,320.9948012238194,202.51425927966704,-21.18475994008819,-16.18475994008819,-99.6
57.109817183333334,13.919101833333334,305.6907101947049,326.95995213380957,203.6533357493879,-20.78017689913139,-15.78017689913139,-99.7
57.10978158333333,13.9189734,312.4765641829801,333.31307079621115,204.66473404984603,-20.366327810851317,-15.366327810851317,-100.7
57.1097435,13.918842583333333,319.666838915403,340.06306459562205,205.63470145873976,-19.944710710935205,-14.944710710935205,-99.9
57.10970565,13.918713533333333,326.8737832312922,346.84646482837013,206.54705349311263,-19.538605382505747,-14.538605382505747,-105.0
57.109668666666664,13.918586683333332,334.01331061193815,353.5829346361997,207.40721984345487,-19.15168214083398,-14.15168214083398,-98.0
57.10963085,13.918464466666668,341.1743872325282,360.3553281186378,208.18245376438415,-18.778139852535475,-13.778139852535475,-98.8
57.10958965,13.918340766666667,348.76796237999116,367.5528418917353,208.9086748867169,-18.3970921167007,-13.397092116700701,-99.8
57.10954711666667,13.918217133333334,356.5421016546504,374.9376884927882,209.5915124602205,-18.022156104992458,-13.022156104992458,-101.0
57.1095035,13.918094933333332,364.4252140356534,382.4418081550863,210.22382867484708,-17.656765965821545,-12.656765965821545,-103.3
57.109457633333335,13.91797265,372.568267611757,390.20906451699165,210.81024928464745,-17.294098917868407,-12.294098917868407,-104.9
57.109411,13.917856683333333,380.6230993671247,397.90695366107406,211.3158280333669,-16.949304017455994,-11.949304017455994,-101.7
57.10936313333333,13.917738116666667,388.9056239305441,405.83689374526534,211.80943116444382,-16.608415115598415,-11.608415115598415,-103.4
57.1093145,13.917627766666667,397.023186224603,413.6223040406982,212.215312660715,-16.287009800327606,-11.287009800327606,-107.4
57.10926598333333,13.917515900000001,405.1982973943679,421.4755748691668,212.61681126824624,-15.975336162925178,-10.975336162925178,-104.3
57.109214216666665,13.917401633333332,413.7745369795469,429.72708484878916,212.9919902211015,-15.660623243689495,-10.660623243689495,-101.1
