antenna_lat,antenna_lon,distance_ground_m,distance_3d_m,azimuth_from_drone_deg,elevation_geom_deg,elevation_in_antenna_frame_deg,rsrp_dbm,antenna_loss_db
57.112326483333334,13.921088683333332,2043.3713605867815,2046.661309857172,30.9491389732857,-3.2491325916741447,1.7508674083258553,-107.6,29.39999999999999
57.1123269,13.921089766666666,2043.4447425293256,2046.734573844577,30.950043256553897,-3.2490161623650864,1.7509838376349136,-107.5,29.299999999999997
57.11232843333333,13.921091483333333,2043.6442711929592,2046.9337818258316,30.950075619425206,-3.2486996281972744,1.7513003718027256,-107.6,29.39999999999999
57.112329566666666,13.921094433333334,2043.843976258247,2047.1331659877728,30.95253953534808,-3.24838287587026,1.7516171241297398,-107.3,29.099999999999994
57.11232893333333,13.921106,2044.143035489655,2047.43174478195,30.970339940947554,-3.2479086532045804,1.7520913467954196,-107.3,29.099999999999994
57.112328016666666,13.921111766666666,2044.2349299337911,2047.523491626265,30.980176931931396,-3.24776296259819,1.7522370374018101,-107.4,29.200000000000003
57.112326616666664,13.921118216666667,2044.3020726210675,2047.590526478083,30.991780079733644,-3.2476565219927753,1.7523434780072247,-107.2,29.0
57.112327433333334,13.921122066666667,2044.4996576983513,2047.7877942620605,30.996052708048808,-3.2473433328477777,1.7526566671522223,-107.2,29.0
57.11232855,13.921124033333333,2044.6672550997698,2047.955122574034,30.997111965777435,-3.2470777240129847,1.7529222759870153,-107.2,29.0
57.11232953333333,13.92112565,2044.8112585620986,2048.0988948637987,30.997877602761776,-3.2468495415850027,1.7531504584149973,-107.2,29.0
57.11233095,13.921125833333333,2044.9519715430404,2048.2393819858476,30.995869416829464,-3.2466266040731813,1.7533733959268187,-107.4,29.200000000000003
57.11233396666667,13.921126450000001,2045.2586535636162,2048.5455718574717,30.991922122870562,-3.2461408207564646,1.7538591792435354,-108.0,29.799999999999997
57.11233728333333,13.921124016666665,2045.499092590508,2048.7856251420235,30.983073360745664,-3.2457600676676153,1.7542399323323847,-108.2,30.0
57.11233975,13.92112255,2045.6886083309669,2048.974836901393,30.976991027856457,-3.2454600182659865,1.7545399817340135,-107.3,29.099999999999994
57.112341083333334,13.921121150000001,2045.772183161797,2049.0582776969973,30.97282351060977,-3.245327716636728,1.7546722833632722,-107.2,29.0
57.11234303333333,13.921119000000001,2045.8912451332471,2049.1771487387,30.96658053853855,-3.2451392563374815,1.7548607436625185,-107.3,29.099999999999994
