timestamp,rsrp_dbm,snr,plmn,latitude,longitude,distance_m
2026-04-20T14:36:19.534611,-68.0,"35,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:20.654419,-68.0,"35,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:21.774867,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:22.862960,-65.0,"35,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:23.950970,-70.0,"35,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:25.070736,-73.0,"33,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:26.190954,-65.0,"38,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:27.310570,-65.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:28.430557,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:29.519002,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:30.639029,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:31.759125,-65.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:32.879035,-65.0,"35,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:33.999204,-65.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:35.118926,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:36.239291,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:37.326756,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:38.446879,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:39.567130,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:40.686967,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:41.807310,-66.0,"39,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:42.895279,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:44.015192,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:45.135292,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:46.223089,-66.0,"39,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:47.343070,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:48.463395,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:49.582753,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:50.702350,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:51.823362,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:52.943387,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:54.063313,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:55.183125,-66.0,"35,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:56.302964,-66.0,"35,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:57.423514,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:58.510996,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:36:59.631060,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:00.751236,-66.0,"35,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:01.871445,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:02.991229,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:04.077905,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:05.199833,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:06.287248,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:07.407431,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:08.526929,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:09.615143,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:10.703506,-66.0,"38,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:11.823287,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:12.943526,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:14.063435,-66.0,"38,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:15.151510,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:16.239306,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:17.327350,-66.0,"38,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:18.447652,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:19.535728,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:20.655570,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:21.775841,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:22.895743,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:24.015741,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:25.135239,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:26.255234,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:27.375272,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:28.463620,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:29.583496,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:30.703252,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:31.823440,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:32.943307,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:34.032020,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:35.151847,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:36.271726,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:37.391954,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:38.512113,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:39.599535,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:40.720040,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:41.807563,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:42.928156,-66.0,"38,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:44.046866,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:45.167859,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:46.256190,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:47.375785,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:48.496250,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:49.615624,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:50.736077,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:51.856185,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:52.976216,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:54.095938,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:55.215928,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:56.336257,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:57.456132,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:58.576116,-66.0,"36,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:37:59.696007,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:00.815534,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:01.936155,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:03.056405,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:04.176184,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:05.296209,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:06.416210,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:07.536262,-66.0,"37,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:08.656371,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:09.776249,-66.0,"38,0 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:10.896397,-66.0,"37,5 dB",99970,57.01396531,9.98797898,26.05
2026-04-20T14:38:12.016181,-66.0,"36,5 dB",99970,57.01396531,9.98797898,26.05
